City,Day,Date,Station Name,Use Case,Status,CPO,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,Test Result,Remark,Station_ID
广州,5.0,12/2/25,新謠中路華中街超充站,DC_UC5_17460720,Normal Test,SC,星星充電,DC,1000.0,250.0,50.0,掃描 QRcode,,13:48,20.0,13:56,25.0,reached target SOC,Pass,,GZ_unknown_cpo_030
广州,5.0,12/2/25,新謠中路華中街超充站,DC_UC4_17460724,Normal Test,節電通,意思特,DC,950.0,250.0,240.0,掃描 QRcode,,14:00,25.0,14:07,27.0,APP,Pass,,GZ_unknown_cpo_031
广州,5.0,12/2/25,新謠中路華中街超充站,DC_UC4_17460724,Normal Test,EAST DCWB,意思特,DC,950.0,250.0,240.0,掃描 QRcode,,14:08,27.0,14:12,28.0,APP,Pass,,GZ_unknown_cpo_032
广州,5.0,12/2/25,同創輪投充電站,DC_UC6_17460721,Normal Test,Xiaoju,小桔,DC,1000.0,250.0,500.0,掃描 QRcode,1.0,14:20,27.0,14:31,37.0,APP,Pass,,GZ_unknown_cpo_033
广州,5.0,12/2/25,中國石化東蒲油站充電站,DC_UC5_17460720,Normal Test,Teld,特來電,DC,380.0,250.0,120.0,掃描 QRcode,,14:47,35.0,14:55,40.0,reached target SOC,Pass,,GZ_unknown_cpo_034
广州,6.0,12/3/25,新百佳充电站,,Abnormal(Unable to enter),,,,,,,,,,,,,,,,
广州,6.0,12/3/25,广州市万科广场充电站,DC_UC5_17460720,Normal Test,Lvnenghuichong,綠能會衝,DC,1000.0,250.0,100.0,掃描 QRcode,1.0,10:53,35.0,11:02,40.0,reached target SOC,Pass,,GZ_unknown_cpo_035
广州,6.0,12/3/25,广州发展瑞士酒店充电站,DC_UC4_17460724,Normal Test,Ruisuzhineng,瑞蘇智能,DC,1000.0,250.0,120.0,掃描 QRcode,1.0,11:03,40.0,11:13,43.0,reached target SOC,Pass,,GZ_unknown_cpo_036
广州,6.0,12/3/25,延长壳牌广州富力天寓地下慢充站,DC_UC4_17460724,Normal Test,zhongnengkunchng,重能快充,DC,1000.0,125.0,40.0,掃描 QRcode,1.0,11:50,40.0,11:57,41.0,reached target SOC,Pass,,GZ_unknown_cpo_037
广州,6.0,12/3/25,美林M.LIVE天地西座-慢充,DC_UC5_17460720,Normal Test,teld,特來電,DC,1000.0,250.0,250.0,掃描 QRcode,1.0,13:36,40.0,13:47,40.0,reached target SOC,Pass,,GZ_unknown_cpo_038
广州,6.0,12/3/25,美林M.LIVE天地西座-慢充,AC_UC1_17460722,Normal Test,Shenhong,盛宏,AC,220.0,32.0,7.0,掃描 QRcode,0.0,14:09,36.0,14:15,36.0,APP,Pass,,GZ_unknown_cpo_039
广州,6.0,12/3/25,美林M.LIVE天地西座-慢充,AC_UC1_17460722,Normal Test,SC,星星充電,DC,220.0,32.0,7.0,掃描 QRcode,0.0,14:47,38.0,14:53,38.0,APP,Pass,,GZ_unknown_cpo_040
广州,,12/3/25,美林M.LIVE天地西座-慢充,DC_UC4_17460724,Normal Test,法斯特,法斯特智能科技發展有限公司,DC,1000.0,400.0,120.0,掃描 QRcode,0.0,14:58,38.0,15:08,41.0,APP,Pass,,GZ_fasite_001
广州,6.0,12/3/25,充电有道黄埔时代城快充站,DC_UC4_17460724,Normal Test,Kehua,柯華,DC,380.0,194.0,120.0,掃描 QRcode,0.0,15:49,37.0,15:51,45.0,reached target SOC,Pass,,GZ_unknown_cpo_041
广州,6.0,12/3/25,荔湾东沙站,DC_UC5_17460720,Normal Test,Shenhong,盛宏,DC,750.0,250.0,180.0,掃描 QRcode,1.0,16:39,37.0,16:52,45.0,reached target SOC,Pass,"廣州最大充電站, 122 隻充電槍",GZ_unknown_cpo_042
广州,7.0,12/4/25,廣州特瓦社龍騰18電子商務產業圈超充站,DC_UC5_17460720,Normal Test,特瓦特,特瓦特能源科技有限公司,HPC,1000.0,500.0,600.0,掃描 QRcode,0.0,12/4/25 10:48,38.0,12/4/25 10:51,45.0,reached target SOC,Pass,,GZ_tewate_001
广州,7.0,12/4/25,廣鋁國際中心充電站,DC_UC4_17460724,Normal Test,雲快充,公牛集團股份有限公司,DC,380.0,120.0,80.0,掃描 QRcode,1.0,12/4/25 11:12,43.0,12/4/25 11:16,47.0,APP,Pass,,GZ_unknown_cpo_043
广州,7.0,12/4/25,廣州白雲夏茅超充站,DC_UC6_17460721,Normal Test,车电网(广汽),广汽能源,DC,1000.0,500.0,250.0,掃描 QRcode,0.0,12/4/25 12:22,42.0,12/4/25 12:28,49.0,LAT,,,GZ_unknown_cpo_044
广州,7.0,12/4/25,广州 W 酒店,AC_UC1_17460722,Abnormal(Unable to enter),朗新能源,,,,,,,,,,,,,,,GZ_langxin_001
广州,7.0,12/4/25,特来电广州荔湾悦汇城超充站,DC_UC5_17460720,Normal Test,奥特能,特來電,DC,1000.0,250.0,,掃描 QRcode,1.0,12/4/25 14:37,40.0,12/4/25 14:42,45.0,reached target SOC,,,GZ_unknown_cpo_045
广州,7.0,12/4/25,广州 W 酒店,DC_UC4_17460724,Normal Test,小象快充,深圳市车电網路又现公司,DC,750.0,160.0,120.0,掃描 QRcode,1.0,12/4/25 14:50,44.0,12/4/25 14:52,45.0,LAT,Pass,,GZ_unknown_cpo_046
广州,7.0,12/4/25,猎德村社卫中心地面充电站,DC_UC4_17460724,Normal Test,小桔充电,珠海泰坦科技股分有限公司,Dc,1000.0,480.0,480.0,掃描 QRcode,0.0,12/4/25 15:41,41.0,12/4/25 15:44,45.0,LAT,Pass,,GZ_xiaoju_001
广州,7.0,12/4/25,华景新天地充电站	,DC_UC4_17460724,Normal Test,小桔充电,深圳市勝宏電器股份有限公司,DC,750.0,750.0,120.0,掃描 QRcode,0.0,12/4/25 16:18,43.0,12/4/25 16:22,45.0,LAT,Pass,,GZ_xiaoju_002
