City,Day,Date,Station,Use Case,Status,CPO Name,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,End Reason,Test Result,Error Describe,Remark,cpo_pinyin,city_abbr,station_num,station_id,Internal_Market_Share (%),National_Impact_Share (%)
成都,4,2026-03-12,大潤發理想超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,理想,万帮数宇能源股份有限公司,DC,1000.0,400.0,400.0,Scan QR Code,1.0,2026-03-12 19:15:00,27.0,2026-03-12 19:17:00,28.0,APP,Manual Stop,,,,li_xiang,CD,1,CD_li_xiang_001,,
成都,4,2026-03-12,大潤發理想超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,廣汽能源,廣汽能源,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-12 19:20:00,28.0,2026-03-12 19:24:00,29.0,LAT,Manual Stop,,, 廣汽lat,guang_qi_neng_yuan,CD,1,CD_guang_qi_neng_yuan_001,0.65,0.37
成都,4,2026-03-13,驢充充充電站,UC01_CC_DC_AC_Sessions,Normal Test,驢充充,江西驴充充充电技术有限公司,DC,750.0,200.0,80.0,Scan QR Code,1.0,2026-03-13 11:08:00,18.0,2026-03-13 11:09:00,30.0,LAT,Manual Stop,Pass,,,lv_chong_chong,CD,1,CD_lv_chong_chong_001,,
成都,5,2026-03-13,快鰻充電站,UC01_CC_DC_AC_Sessions,Normal Test,快鰻,領沖,DC,1000.0,200.0,60.0,Scan QR Code,1.0,2026-03-13 12:20:00,,2026-03-13 12:20:00,22.0,CID,Manual Stop,Pass,,,kuai_man,CD,1,CD_kuai_man_001,,
成都,5,2026-03-13,特斯拉超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,特斯拉,特斯拉,DC,,,,Scan QR Code,1.0,,,,,Target SOC,Manual Stop,,,電流會跳到六千多安,te_si_la,CD,1,CD_te_si_la_001,,
成都,5,2026-03-13,眉山服務區汽車充電站,UC01_CC_DC_AC_Sessions,Normal Test,四川明星新能源,四川中環創聯,DC,1000.0,250.0,250.0,Scan QR Code,1.0,,10.0,2026-03-13 14:54:00,30.0,LAT,Manual Stop,Pass,,,si_chuan_ming_xing_xin_neng_yuan,CD,1,CD_si_chuan_ming_xing_xin_neng_yuan_001,,
成都,5,2026-03-13,衛萊電充電站,UC01_CC_DC_AC_Sessions,Normal Test,衛萊電,領充,DC,1000.0,250.0,80.0,Scan QR Code,0.0,2026-03-13 16:33:00,2.0,2026-03-13 16:33:00,14.0,Target SOC,Manual Stop,,,,wei_lai_dian,CD,1,CD_wei_lai_dian_001,,
成都,5,2026-03-14,逸安启超充站-成都仁和新城,UC01_CC_DC_AC_Sessions,Normal Test,逸安起,,,,,,Scan QR Code,1.0,,,,,Target SOC,Manual Stop,Pass,,App提示百分之九十七停止 實際停止八分鐘九十六 充電完成後不提是綠燈 （充電完成）預計完成時間1244,yi_an_qi,CD,1,CD_yi_an_qi_001,,
重庆,1,2026-03-15,上海城紫微星超级充电站,UC01_CC_DC_AC_Sessions,Normal Test,紫微星科技,四川蔚宇電器,DC,380.0,250.0,80.0,Scan QR Code,1.0,2026-03-15 11:14:00,5.0,,20.0,Target SOC,Manual Stop,Pass,,直接掃描屏幕二維碼不能，輸入必須掃描星星充電二維碼。地圖顯示同為星系充電站,zi_wei_xing_ke_ji,CQ,1,CQ_zi_wei_xing_ke_ji_001,,
重庆,1,2026-03-15,愉秒充九龙坡奥体金龙超充站,UC02_DC_eRoute_vWM,Normal Test,愉秒充,华为数字飽漂技本有限公司,DC,1000.0,380.0,380.0,Scan QR Code,1.0,2026-03-15 12:05:00,18.0,2026-03-15 12:07:00,21.0,LAT,Manual Stop,,,L A T停止沒有反應鎖車解鎖之後LED工作,yu_miao_chong,CQ,1,CQ_yu_miao_chong_001,0.15,0.02
重庆,1,2026-03-15,愉秒充九龙坡奥体金龙超充站,UC01_CC_DC_AC_Sessions,Normal Test,愉秒充,华为教字能源技术有限公司,DC,1000.0,600.0,600.0,Scan QR Code,0.0,2026-03-15 12:11:00,21.0,2026-03-15 12:15:00,29.0,CID,Target SOC,,,,yu_miao_chong,CQ,2,CQ_yu_miao_chong_002,0.15,0.02
重庆,1,2026-03-15,易安充马王场超级充电站,UC01_CC_DC_AC_Sessions,Normal Test,易安電,厦门易安电新能源科技有限公司,DC,750.0,250.0,160.0,Scan QR Code,0.0,2026-03-15 12:35:00,30.0,2026-03-15 12:40:00,35.0,Target SOC,Manual Stop,Pass,,,yi_an_dian,CQ,1,CQ_yi_an_dian_001,,
重庆,1,2026-03-15,小可樂科技充電站,UC01_CC_DC_AC_Sessions,Normal Test,小可乐,珠海小司可乐科技有限公司,DC,1000.0,500.0,250.0,Scan QR Code,0.0,2026-03-15 13:13:00,33.0,2026-03-15 13:16:00,34.0,CID,Manual Stop,Pass,,,xiao_ke_le,CQ,1,CQ_xiao_ke_le_001,,
重庆,1,2026-03-15,吉智能源充電站,UC01_CC_DC_AC_Sessions,Normal Test,吉智能源,石家庄科林电气股份有限公司,DC,1000.0,270.0,180.0,Scan QR Code,1.0,2026-03-15 15:28:00,23.0,2026-03-15 15:29:00,24.0,Target SOC,Manual Stop,Pass,,QR Code使用心電圖掃描,ji_zhi_neng_yuan,CQ,1,CQ_ji_zhi_neng_yuan_001,,
重庆,1,2026-03-15,吉智能源充電站,UC01_CC_DC_AC_Sessions,Normal Test,吉智能源,石家庄科林电气股份有限公司,DC,1000.0,240.0,480.0,Scan QR Code,1.0,2026-03-15 15:32:00,24.0,2026-03-15 15:33:00,27.0,CID,Manual Stop,Pass,,,ji_zhi_neng_yuan,CQ,2,CQ_ji_zhi_neng_yuan_002,,
