id,name,address,cityname,adname,location,biz_rating,biz_cost,biz_open_time,biz_opentime2,source_hex_id,cpo_final,longitude,latitude
B0K136RARE,小鹏超级充电站(能创金府中段充电站小鹏平台),金府路中段48号(入口金府路),成都市,温江区,"103.800270,30.687733",3.3,,24小时营业,周一至周日 00:00-24:00,hex_250,小鹏,103.80027,30.687733
B0KKUCJQPB,理想超级充电站(理想超充站成都温江金府路),天府街道金府路中段48号,成都市,温江区,"103.799930,30.688240",3.3,,24小时营业,周一至周日 00:00-24:00,hex_250,理想,103.79993,30.68824
B0LR16RH0O,小鹏超级充电站(小鹏-bp S4超快充成都温江孔雀城站),国家海峡两岸科技产业开发园温江区南江路789号温江孔雀城,成都市,温江区,"103.843890,30.681725",3.3,,24小时营业,周一至周日 00:00-24:00,hex_250,小鹏,103.84389,30.681725
B0L309M4PL,理想超级充电站(理想超充站成都金强运动中心),万春镇江宁南路国色天乡鹭湖宫6区,成都市,温江区,"103.835110,30.719982",3.8,,24小时营业,周一至周日 00:00-24:00,hex_250,理想,103.83511,30.719982
B0L0L68AOF,小鹏超级充电站(小鹏S4超快充成都温江国色天乡站),永安路与天乡路二段交叉口北160米,成都市,温江区,"103.821580,30.717310",3.5,,24小时营业,周一至周日 00:00-24:00,hex_250,小鹏,103.82158,30.71731
B0K3C7FW8M,蔚来能源充电站(池州九华山蔚蓝之行),成都新盈宝汽车销售服务有限公司芙蓉大道一段店南门旁,成都市,温江区,"103.869250,30.700664",5.0,,24小时营业,周一至周日 00:00-24:00,hex_251,蔚来,103.86925,30.700664
B0J2LU0CJ8,蔚来换电站(成都温江永和街),永和街停车场入口进来左转走到底直行,成都市,温江区,"103.855623,30.680691",[],,24小时营业,周一至周日 00:00-24:00,hex_251,蔚来,103.855623,30.680691
B0HDZ6XMW6,蔚来换电站成都金温江首座,兆雅物业大厦地面停车场,成都市,温江区,"103.869283,30.701100",0.0,,24小时营业,周一至周日 00:00-24:00,hex_251,蔚来,103.869283,30.7011
B0L6647CYI,理想超级充电站(理想超充站成都温江德昆新天地),盒马鲜生停车场,成都市,温江区,"103.856730,30.689526",3.8,,24小时营业,周一至周日 00:00-24:00,hex_251,理想,103.85673,30.689526
B0L6PM9SMK,理想超级充电站(理想超充站成都温江标驰车检中心),成都标驰机动车检测有限公司地面停车场,成都市,温江区,"103.875060,30.695492",3.8,,24小时营业,周一至周日 00:00-24:00,hex_251,理想,103.87506,30.695492
B0L276ILCC,小鹏超级充电站(小鹏S4超快充成都德昆悦天地站),德昆悦天地B座12楼1211号(入口海川路),成都市,温江区,"103.853300,30.682693",3.3,,24小时营业,周一至周日 00:00-24:00,hex_251,小鹏,103.8533,30.682693
B0L6PMC40V,小鹏超级充电站(小鹏S4超快充成都温江标驰检测站站),成都标驰机动车检测有限公司地面停车场,成都市,温江区,"103.874596,30.695547",3.3,,24小时营业,周一至周日 00:00-24:00,hex_251,小鹏,103.874596,30.695547
B0HAJ641KX,蔚来能源汽车充电站(成都郫都菁蓉蔚来超充站),创客餐厅地面停车场,成都市,郫都区,"103.863377,30.779744",3.6,,24小时营业,周一至周日 00:00-24:00,hex_274,蔚来,103.863377,30.779744
B0L1M6FKBV,小鹏超级充电站(小鹏S4超快充成都郫县南北大道站),蜀新大道1398号名扬青少年运动中心羽毛球馆,成都市,郫都区,"103.911800,30.798363",3.3,,24小时营业,周一至周日 00:00-24:00,hex_275,小鹏,103.9118,30.798363
B0J6L9QXO2,蔚来能源汽车充电站(成都川蔚宸心站),犀团路165号,成都市,郫都区,"103.966840,30.765509",3.8,,24小时营业,周一至周日 00:00-24:00,hex_275,蔚来,103.96684,30.765509
B0LUACOVV3,理想超级充电站(理想超充站成都郫都百草路),合作街道百草路1025号,成都市,郫都区,"103.955230,30.749630",3.8,,24小时营业,周一至周日 00:00-24:00,hex_275,理想,103.95523,30.74963
B0K0S6086E,小鹏超级充电站(能创西区大道充电站小鹏平台),西区大道1599号附12号(入口西区大道),成都市,郫都区,"103.940506,30.766342",3.8,,24小时营业,周一至周日 00:00-24:00,hex_275,小鹏,103.940506,30.766342
B0LA666TEY,小鹏超级充电站(小鹏S4超快充成都犀浦车管所站),郫都区犀团路65号(入口犀团路),成都市,郫都区,"103.968538,30.762697",3.3,,24小时营业,周一至周日 00:00-24:00,hex_275,小鹏,103.968538,30.762697
B0I3B5E74A,蔚来锦鲤换电站,犀团路97号,成都市,郫都区,"103.966533,30.765322",3.6,,[],[],hex_275,蔚来,103.966533,30.765322
B0K02ST4SY,理想超级充电站(理想超充站成都郫都西区大道),郫都区小桔充电站(能创西区大道)内,成都市,郫都区,"103.940380,30.766205",3.8,,24小时营业,周一至周日 00:00-24:00,hex_275,理想,103.94038,30.766205
B0L6PA68DM,理想超级充电站(理想超充站成都郫都双柏路),德农正成种业有限公司,成都市,郫都区,"103.924230,30.790960",3.8,,24小时营业,周一至周日 00:00-24:00,hex_275,理想,103.92423,30.79096
B0I04PJK96,小鹏超级充电站(小鹏S4超快充成都高新西区服务中心站),新航路2号高新西区服务中心(入口新航路),成都市,郫都区,"103.963758,30.738923",3.2,,06:30-23:30,周一至周日 06:30-23:30,hex_275,小鹏,103.963758,30.738923
B0L0Y6504X,小鹏超级充电站(小鹏S4超快充成都郫都区百草路站),高新西区百草路993号(入口百草路),成都市,郫都区,"103.954890,30.749607",3.3,,24小时营业,周一至周日 00:00-24:00,hex_275,小鹏,103.95489,30.749607
B0L61U69GP,蔚来能源目的地充电站(内部使用成都威特电喷有限责任公司),郫都区高新西区西源大道84号b座3楼,成都市,郫都区,"103.944590,30.735168",0.0,,24小时营业,周一至周日 00:00-24:00,hex_275,蔚来,103.94459,30.735168
B0L61USPZM,蔚来能源目的地充电站(内部使用成都西门子智能制造中心),郫都区西芯大道7号,成都市,郫都区,"103.962080,30.739717",0.0,,24小时营业,周一至周日 00:00-24:00,hex_275,蔚来,103.96208,30.739717
B0LBS4NTJD,举视汽车充电站(万科理想城1期一栋负二楼共享充电站),犀浦街道兴业北街12号,成都市,郫都区,"103.978304,30.753966",1.0,,24小时营业,周一至周日 00:00-24:00,hex_275,理想,103.978304,30.753966
B0LAM40R30,举视汽车充电站(万科理想城14栋负二楼共享充电站),犀浦街道万科·理想城-芳华门西南约115米,成都市,郫都区,"103.979755,30.751946",1.0,,24小时营业,周一至周日 00:00-24:00,hex_275,理想,103.979755,30.751946
B0LD3DHUQK,理想超级充电站(理想超充站成都郫都鹃兴路),郫筒街道鹃兴路157号,成都市,郫都区,"103.895996,30.819017",3.8,,24小时营业,周一至周日 00:00-24:00,hex_299,理想,103.895996,30.819017
B0JG6LKRII,小鹏汽车充电站(小鹏超充成都蜀都万达广场站),郫筒街道蜀都万达广场地下停车场F区F-054,成都市,郫都区,"103.905040,30.807410",3.8,,24小时营业,周一至周日 00:00-24:00,hex_299,小鹏,103.90504,30.80741
B0L3MZKG7U,理想超级充电站(理想超充站彭州天彭街道爱国南路),天彭街道爱国南路四川制药股份有限公司,成都市,彭州市,"103.969390,30.981781",3.3,,24小时营业,周一至周日 00:00-24:00,hex_348,理想,103.96939,30.981781
B0J33KO1HZ,蔚来能源超级充电站(彭州爱国南路),天府东路389号地面停车场,成都市,彭州市,"103.970037,30.981737",2.6,,24小时营业,周一至周日 00:00-24:00,hex_348,蔚来,103.970037,30.981737
B0L054SS29,友电云物联汽车充电站(友电云理想之城2期充电站),理想之城2期,成都市,彭州市,"103.938576,30.926130",1.8,,24小时营业,周一至周日 00:00-24:00,hex_323,理想,103.938576,30.92613
B0K3UDWLFW,理想汽车充电站(理想超充站彭州郊野公园),消防救援大队旁,成都市,彭州市,"103.940100,30.999056",3.8,,24小时营业,周一至周日 00:00-24:00,hex_371,理想,103.9401,30.999056
B0KKL6382J,小鹏超级充电站(小鹏S4超快充成都彭州郊野公园站),天彭镇朝阳北路156号(入口朝阳北路),成都市,彭州市,"103.940030,30.998950",3.8,,24小时营业,周一至周日 00:00-24:00,hex_371,小鹏,103.94003,30.99895
