天數,Date,站點,Use Case,狀態,CPO Name,製造商,MODEL,電壓(V),電流(A),功率(kW),開啟電裝方式,"具備12, 24V選項",開始時間,開始電量(%),結束時間,結束電量(%),结束原因,結束方法,測試結果,備註
8,2025-12-05,國能安儲,DC_UC4_17460724,正常測試,國能安儲,深圳,DC,1000.0,250.0,360.0,掃描 QRcode,1.0,2025-12-05 12:20:38,51.0,2025-12-05 12:21:49,53.0,CID,手動結束,Pass,中旅交通（安创）超级充电站本站已入住小橘充電
8,2025-12-05,广州花都融创茂公共充电站,AC_UC1_17460722,正常測試,南方電網‘,南方電網‘,DC,750.0,250.0,160.0,掃描 QRcode,1.0,2025-12-05 13:06:46,47.0,2025-12-05 13:08:32,48.0,LAT,手動結束,Pass,广州花都融创茂公共充电站 白名單上第一名充電站
8,2025-12-05,至泰广场充电站,DC_UC4_17460724,電站無法進入（如門禁、施工等）,小桔,,,,,,掃描 QRcode,1.0,,,,,,,nan,至泰广场充电站
8,2025-12-05,國能安儲,DC_UC4_17460724,正常測試,國能安儲,深圳,DC,1000.0,250.0,360.0,掃描 QRcode,1.0,2025-12-05 12:20:38,51.0,2025-12-05 12:21:49,53.0,CID,手動結束,Pass,中旅交通（安创）超级充电站
8,2025-12-05,南方電網‘,AC_UC1_17460722,正常測試,南方電網‘,南方電網‘,DC,750.0,250.0,160.0,掃描 QRcode,1.0,2025-12-05 13:06:46,47.0,2025-12-05 13:08:32,48.0,LAT,手動結束,Pass,广州花都融创茂公共充电站 白名單上第一名充電站
8,2025-12-05,小桔,DC_UC4_17460724,電站無法進入（如門禁、施工等）,小桔,小桔,,,,,掃描 QRcode,1.0,,,,,,,nan,至泰广场充电站
8,2025-12-05,特斯拉,DC_UC4_17460724,正常測試,特斯拉,特斯拉,DC,410.0,270.0,,掃描 QRcode,1.0,2025-12-05 16:42:58,31.0,2025-12-05 16:44:54,33.0,reached target SOC,手動結束,Pass,特斯拉
8,2025-12-05,星星充電,AC_UC1_17460722,正常測試,星星充電,萬邦,DC,1000.0,250.0,240.0,掃描 QRcode,0.0,2025-12-05 16:56:44,33.0,2025-12-05 17:02:44,34.0,LAT,手動結束,Pass,星星充電 奔馳專用 用小程序掃描後 可用星星充電小程序充電
8,2025-12-05,广汽能源,AC_UC1_17460722,正常測試,广汽能源,广汽能源,DC,,,,掃描 QRcode,1.0,,,,,reached target SOC,手動結束,Failed,Charger
8,2025-12-05,广汽能源,AC_UC1_17460722,正常測試,广汽能源,廣汽,DC,1000.0,250.0,240.0,掃描 QRcode,0.0,2025-12-05 18:15:39,28.0,2025-12-05 18:18:16,33.0,APP,手動結束,Pass,前兩次啟動失敗
8,2025-12-05,小鵬,AC_UC1_17460722,正常測試,小鵬,西安岭充无线新能源科技有限公司,HPC,1000.0,800.0,800.0,掃描 QRcode,1.0,2025-12-05 18:24:08,33.0,2025-12-05 18:27:07,35.0,CID,手動結束,Pass,
8,2025-12-05,天光地合,DC_UC6_17460721,正常測試,天光地合,盛宏,DC,1000.0,250.0,120.0,掃描 QRcode,0.0,2025-12-05 19:06:52,32.0,2025-12-05 19:08:01,35.0,LAT,手動結束,Pass,掃碼顯示小桔充電
8,2025-12-05,億立新,DC_UC4_17460724,正常測試,億立新,珠海泰坦科技股份有限公司,DC,1000.0,400.0,400.0,掃描 QRcode,0.0,2025-12-05 19:20:20,35.0,2025-12-05 19:23:08,36.0,CID,手動結束,Pass,登徒 e 站  APP 啟電為新店途
8,2025-12-05,珠海驛聯 e 充電,DC_UC4_17460724,正常測試,珠海驛聯 e 充電,泰坦,DC,750.0,380.0,120.0,掃描 QRcode,0.0,2025-12-05 19:52:04,35.0,2025-12-05 19:53:39,37.0,CID,手動結束,Pass,要掃描下面的 e 充電
8,2025-12-05,昊铂-中国石油广州富洲中心超充站,DC_UC4_17460724,正常測試,广汽能源,万城万冲,DC,1000.0,250.0,180.0,掃描 QRcode,1.0,2025-12-05 20:24:33,35.0,2025-12-05 20:25:51,37.0,LAT,手動結束,Pass,終於結束了，累死了
